SMILES,SMILES_state,NLL
CC(C)OC(=O)c1cc(N)ccc1[N+](=O)[O-],1,25.55
COC(=O)C(CC(C)C)C(=O)C=Cc1cccc(F)c1,1,31.89
CCCCCCCC1=C(C)C(=O)CC12CC(=CCOC(=O)c1ccccc1)C(=O)O2,1,45.42
Cc1cc(C(=O)N2CCCC(CN(C)Cc3ccccn3)C2)n(C)n1,1,25.45
COc1ccc(C=NN=c2[nH]c3ccccc3[nH]2)c(OC)c1,1,20.92
Cc1ccc(-n2cc(C(O)N=c3[nH]nc(C)s3)cc2O)cc1,1,20.29
CCOc1ccc(Sc2ccc(CN3CCN(C4CCCCC4)C(CCO)C3)cc2OC)cc1,1,29.81
Cc1[nH]oc(=NS(=O)(=O)c2cc(Cl)cc(Cl)c2)c1C,1,21.87
CC(CO)Cc1cccc(C2(C)CCC(O)CC2)c1,1,34.31
c1cnc(N2CCN(c3ccc(OCCN4CCCCC4)cc3)CC2)cn1,1,22.8
Cc1cccc(N2CCN(C(=O)CCCS(=O)(=O)NCc3ccc(Cl)c(Cl)c3)CC2)c1C,1,36.04
Cc1cccc(C#Cc2cnccn2)n1,1,21.17
CCOC(=O)c1sccc1NS(=O)(=O)c1cccc2c(S(N)(=O)=O)cccc12,1,32.31
Cc1cc(N(CCO)CCO)nc(N2CCCC2)n1,1,21.95
COc1c(OC)c(O)c2c(=O)c(OC)c(-c3ccc(O)c(O)c3)oc2c1OC,1,18.64
CCCN1C(=O)C(O)N=C(c2ccc(N3CCOCC3)cc2)c2cc(C)ccc21,1,33.58
CCN=c1[nH]c(Cl)cc(=NC(=O)C(CO)c2ccccc2)[nH]1,1,32.15
Cc1nc(CNCc2ccc(-c3cccc(CNC4CCOCC4)c3)cc2)no1,1,32.11
CCOC(=O)C1CCN(C(=O)n2nc(C(=O)c3ccc4c(c3)OCCO4)c3nc4ccccc4nc32)CC1,1,36.06
CCOc1ccccc1N1CCN(CCCCNC(=O)c2ccc(OC)cc2)CC1,1,21.89
COc1ccc2ccc(O)c(N=Nc3ccc(SCC(=O)N=c4[nH]c5ccc(F)cc5s4)c4ccccc34)c2c1,1,41.74
Cc1nnc(SCC(=O)Nc2ccc(OC3CC3)cc2)n1-c1ccccc1,1,29.52
O=c1[nH]c2c(O)ccc(CCNCCOCCCCCc3ccc(CN4CCCCC4)cc3)c2s1,1,30.07
Clc1cccc(OCCn2ccnc2)c1,1,19.24
COc1cc(-c2c[nH]c(-c3cc4ccccc4[nH]3)n2)cc(OC)c1OC,1,22.62
Cc1[nH]c2ccccc2c1C=C(C#N)C#N,1,18.4
O=C(NCC(F)(F)F)C1CSC2c3cc(Cl)ccc3C(=O)N12,1,32.01
COC1CCC2(CC1)Cc1ccc(-c3cc(Cl)cc(Cl)c3)cc1C21N=C(N)N(C)C1=O,1,20.6
O=C(NC(CO)C(O)c1cccc(F)c1)C1CCNCC1,1,28.08
Cn1c(=O)c(C(=O)N2CCc3c(sc(N)c3C(=O)N3CCOCC3)C2)cc2ccccc21,1,34.98
OC(c1ccc(Br)cc1)c1sc(-c2ccc(Cl)cc2Cl)nc1-c1c(Cl)cccc1Cl,1,35.78
Cc1ccc(OCCCCn2cc(COc3ccc4ccccc4c3)nn2)cc1,1,25.49
CCc1cc(C(=O)NC2CN(C3CCN(C)CC3)CC2COC)no1,1,31.21
CN(C)C(=O)Oc1ccc2c(c1)Cc1ccccc1-2,1,21.85
CCOCC1(c2ccccc2)NC(=O)NC1=O,1,22.19
CC(C)OCCCNC(=O)C(NS(=O)(=O)c1ccc(F)cc1F)c1ccco1,1,32.18
CC(C)NC(=O)C(c1ccc(O)cc1)N(Cc1ccccc1Cl)C(=O)Cc1ccc(F)cc1,1,33.97
NC(=S)ONC1c2c(ccc(O)c2O)C(CO)C(O)C1O,1,34.24
O=C(NCCn1c(=O)oc2ccccc21)c1ccc(Br)s1,1,24.51
COc1cc(Sc2cc(OC)c(OC)c(OC)c2)ccc1O,1,22.53
Oc1c(Cl)c(CC=C(Cl)Cl)c(O)c2ccccc12,1,22.15
Nc1ccccc1N=c1c2ccccc2[nH]c2ccccc12,1,19.39
O=C(O)c1cn(C2CC2)c2ccc(CC3=C4OCOCC4=C3)cc2c1=O,1,42.04
CC1Cc2ccccc2N1C(=O)CSc1nnc(-c2ccccn2)n1C,1,24.09
C(=O)(CCC)N=c1c(=NC(=O)C2C(C(=O)O)C3OCC2C3)[nH]c2c([nH]cc2)n1,0,45.42
Cn1cc(Cl)c(C(=O)Nc2ccc(F)c(C3(C(F)F)NC(=N)OC4CC43)c2)n1,1,21.56
COCCNC(=O)c1ccc2oc(-c3ccc(C=CC(O)=NO)cc3)c(C3CCCCC3)c2c1,1,35.87
COc1cc(NCCCN(CCO)CCO)c2cc(NC(=O)C=Cc3ccccc3Cl)c(=O)oc2c1,1,42.69
CC(NC(c1[nH]cc(Cl)n1)=O)c1c(OCC(Cn2cccc(Cl)n2)C)cccc1,0,48.96
CSCC(C)N1CCCC(N2CCN(C)C2=O)C1,1,30.99
O=S(=O)(c1ccccc1)C1(c2cc(N3CCOCC3)nc(-n3ncc4ccc(F)cc43)n2)CC1,1,29.19
CCOC(=O)C1(c2cccc(F)c2)CCN(C(=O)C2C(=O)CCn3c2nc2cc(C)c(C)cc23)CC1,1,37.96
CCc1c(Br)c(C(=O)OC)c(Nc2cc(OC)c(OC)c(OC)c2)n1C,1,31.35
c1ccc(C2(COCc3cc(-c4ccccn4)no3)CCNCC2)cc1,1,22.6
Cc1ccc(C)c(N=c2[nH]c(=O)c3ccccc3[nH]2)c1,1,22.18
CC(=O)N1CCN(C(=O)c2cccc(C(F)(F)F)c2Cl)CC1,1,22.68
Cc1ccc(-n2c(SCC(=O)Nc3ccc(Cl)cc3F)nc3c(sc4ccccc43)c2=O)cc1,1,32.16
Cc1ccc(N2CCN(C(=S)Nc3cccc(C(F)(F)F)c3)CC2)cn1,1,30.82
NS(=O)(=O)c1ccc(-n2nnc3sc4c(c3c2=O)CC2CCC4C2)cc1,1,33.31
