SMILES,SMILES_state,NLL
Cc1ccc(OC(=O)c2cccc(CN3C(=O)C(=O)c4cc(Br)cc(Br)c43)c2)cc1,1,32.41
Cc1nnc(CNC23CCC(CCc4c(F)cnc5ccc(OCCC6CCNCC6)nc45)(CC2)OC3)o1,1,25.42
O=C(Cc1ccccc1)NCCCc1c[nH]cn1,1,20.99
CCCCCCN=c1[nH]c(=Nc2ccccc2)[nH]cc1[N+](=O)[O-],1,23.21
O=C(c1ccco1)N1CCN(C(=O)C2CCCCC2)CC1,1,19.65
CCCc1coc(C(C)NC(=O)C(C)NC(=O)C(CC(C)C)=NC(=O)c2ccccc2)n1,1,39.41
CS(=O)(=O)NC(=O)Nc1ccc(Cl)cc1,1,18.34
Cc1ccc(S(=O)(=O)NN=Cc2ccc(N(C)C)cc2)cc1,1,18.08
CCc1ccc(N=c2[nH]c3ccccc3n2CC(O)NC23CC4CC(CC(C4)C2)C3)cc1,1,36.35
Cc1cccc(C(=O)N=c2cncc[nH]2)c1,1,21.15
C(=NN=c1[nH]c2ccccc2s1)c1cn(-c2ccccc2)nn1,1,26.28
CCCN(CCC)C(=O)c1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1,1,22.73
N#Cc1ccc(N2CCN(C(=O)c3c[nH]n(-c4ccccc4)c3=N)C(CN3CCCCC3)C2)cc1,1,36.18
NCCCN=c1[nH]c(=Nc2ccccc2)[nH]c(=Nc2ccccc2)[nH]1,1,19.15
COc1ccc(-c2csc3nc(=NCc4cccnc4)cc(C)n23)cc1,1,29.45
c12n3c4c(cc(C)cc4c1CCN(C(C)C)C2)c(C#N)cc3C(=O)OC,0,38.4
O=C(CSc1nc[nH]n1)Sc1ccccc1,1,25.48
COc1cccc(S(=O)(=O)NC2CCN(CCCOc3ccccc3)C2)c1,1,23.49
CCCCN(C(=O)CC1CCCC1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O,1,20.24
