SMILES,SMILES_state,Input_SMILES,Tanimoto,NLL
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1.0,2.13
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1.0,3.18
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1.0,3.35
C(#Cc1cncc(N2CCCC3(CNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.9,3.61
C(#Cc1cncc(N2CCC3(CCNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.8611111111111112,4.32
C(#Cc1cncc(N2CC[C@@]3(CCNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.8611111111111112,4.5
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1.0,4.53
C(#Cc1cncc(N2CC3(CNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.8529411764705882,4.63
C(#Cc1cncc(N2CC[C@]3(CCNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.8611111111111112,4.76
C(#Cc1cncc(N2CCC3(CC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.8405797101449275,4.85
C(#Cc1cncc(N2CCC3(CC2)CNC3)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.8472222222222222,4.95
C(#Cc1cncc(N2CC[C@@]3(CCCNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.8266666666666667,5.16
C(#Cc1cncc(N2CCC3(CCCNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.8266666666666667,5.31
C(#Cc1cncc(N2CC[C@]3(CCCNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.8266666666666667,5.4
C(#Cc1cncc(N2CCC3(CC2)CNC3)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.8472222222222222,5.43
C(#Cc1cncc(N2CC3(CCNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.8055555555555556,5.59
C(#Cc1cncc(N2CCC3(CCNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.8611111111111112,5.64
C(#Cc1cncc(N2CCCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.9,5.68
C(#Cc1cncc(N2CCC3(CCC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.8055555555555556,5.74
C(#Cc1cncc(N2CCCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.9,5.78
C(#Cc1cncc(N2CCCCC3(CNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.863013698630137,5.88
C(#Cc1cncc(N2CCC3(COC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.8055555555555556,6.07
C(#Cc1cncc(N2CCC[C@@]3(CCNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.7792207792207793,6.12
C(#Cc1cncc(N2CCC[C@]3(CCNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.7792207792207793,6.25
C(#Cc1cncc(N2CCCC3(CCNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.7792207792207793,6.26
C(#Cc1cncc(N2CCC3(CN3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.7887323943661971,6.38
C(#Cc1cncc(N2CCC3(CC=NC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.7631578947368421,6.4
C(#Cc1cncc(N2CCC3(CCNCC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.7792207792207793,6.4
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1.0,6.41
C(#Cc1cncc(N2CC[C@@]3(CCOC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.7631578947368421,6.57
C(#Cc1cncc(N2CCC3(C=CNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.717948717948718,6.6
C(#Cc1cncc(N2CCOCC3(CNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.8133333333333334,6.64
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccncc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.7567567567567568,6.66
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1.0,6.67
