SMILES,SMILES_state,NLL
CCC(=O)N=c1cc2c(=O)cc(C)[nH]c2c(C)[nH]1,1,25.98
CC(C)(F)c1ccc(NC(=O)N=c2[nH][nH]c3cc([N+](=O)[O-])ccc23)cc1,1,38.79
COc1cc2cc(C(C)(C)C)[n+](CCCCCCCCCCCC[n+]3cc(C)cc(C)c3)c(C)c2cc1OC,1,31.72
CCCc1nc(N2CCCC(C(=O)NCc3ccccc3OCC)C2)c2nc(CC)n(Cc3ccccc3)c2n1,1,35.59
n1(-c2ccc(OC)cc2)[nH]c2c3cnnc3ccc2c1=O,0,22.05
CC(C)c1cc(-c2ccc(C(F)(F)F)cc2)cc2[nH]c(=N)oc12,1,31.54
o1c(-c2cn3c(=O)c4c([nH]c23)nccc4)n[nH]c1=S,0,30.12
CN(C)C(=O)c1cc2n(n1)CCC(=O)N2Cc1ccccc1Cl,1,23.36
CS(=O)(=NC(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1)c1cccc2ccccc12,1,30.52
Cc1cccc(-c2nc3cc(-c4ccccc4)cnc3o2)c1,1,24.3
O=C1CC2(CCCCCC2)SC(C(=O)O)C1O,1,32.53
CC(=O)C(CC(=O)NC(C)c1ccccc1)n1nc(C)cc1C,1,32.75
Cc1cccc(NC(=O)COC(=O)c2ccc(Cl)nc2)c1C,1,22.03
Cc1cc(C(=O)O)cc2[nH]c(-c3ccc(CO)c(-c4cnn[nH]4)c3)nc12,1,47.97
CC(C)CC(NC(=O)Nc1ccc(Cl)cc1)C(=O)NC1CCCC1,1,24.86
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,1,19.21
O=C(NC(Cc1ccccc1)C(=O)N1CCC(CN2CCCC2)(C2CCCCC2)CC1)C1CCCN1C(=O)Nc1ccc(F)cc1,1,31.41
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,1,15.89
CC(=O)N1CCCN(c2nc(N3CCOCC3)nc3ncc(C#N)cc23)CC1,1,30.87
CCN1CCN(c2cc(=N)c3ccccc3[nH]2)CC1,1,22.67
COc1cc(CN)cc2c1-c1cc(OC)c3c(c1CC(C)(C)O2)C(=O)NC3C,1,42.7
O1COc2cc3c(cc21)N=CC(CC1(C)CCC(C(C)(OC1C(C)C)=O)O)C3=O,0,53.97
CCN(CC)C(=O)N1CCc2sc(N3CCOCC3)nc2C1,1,26.74
COCCN=c1[nH]c(=Nc2ccc(OC(F)F)cc2)[nH]c(=NC(C)C)[nH]1,1,24.71
CNC(C)C(=O)N=c1cc[nH]c(N=c2nc(-c3ccc(OC)cc3)cc[nH]2)c1,1,29.62
O=C(O)c1cccc(-n2c(O)c3c(c2O)C(CCc2ccccc2)NC2(N3)C(=O)N(c3ccccc3)c3oc(-c4ccccc4)cc(=O)c32)c1,1,54.64
O=C(Nc1cccc(C(F)(F)F)c1)c1cc2ccccc2s1,1,23.12
COc1cc(CC2CCN(C)C2=O)cc(OC)c1Oc1ccc(C)cc1C,1,30.91
COc1cc2c(=Nc3ccccc3N3CCNCC3)c(C(C)=O)c[nH]c2cc1-c1ccc(CCS(C)(=O)=O)s1,1,46.11
O=C(NCCc1nc2ccccc2n1Cc1ccccc1Cl)C(=O)NCc1ccccc1,1,27.57
C=C1C(O)CC(C)(C)C2C(OC(=O)c3ccccc3)C(O)C(C)(O)C(OC(=O)c3ccccc3)C12O,1,32.22
Cc1cc(-c2ccccn2)nc(Oc2cccc(C)c2C)n1,1,27.01
COc1ccc(N(CCNC(C)=O)c2ncnc3ccsc23)cc1,1,27.54
CC1(c2ccccc2)NC(=O)N(CC(=O)NC2CC2)C1=O,1,21.28
Cc1ccc(CNC(=O)Cn2nc(-c3ccc(C)o3)oc2=O)o1,1,26.25
Cc1ccc(CNC(=O)C2CCN(S(=O)(=O)Cc3ccccc3)CC2)o1,1,25.76
Nc1cc(Cl)ccc1N=c1ssnc1Cl,1,20.83
Clc1ccc(CCN=c2cc(-c3ccccc3Cl)nc3cc[nH]n23)cc1,1,26.58
O=C1CCCCC1C(=O)Oc1ccc(Cl)cc1Cl,1,26.2
O=C(O)c1ccc(COc2ccc3c(c2)CCC3)cc1,1,21.48
N#Cc1ccc2c(c1)N(CCN1CCC(c3ccc(C(F)(F)F)cc3)C(O)C1)C(=O)CC2,1,32.1
COc1ccccc1NC(=S)NN=Cc1ccc([N+](=O)[O-])o1,1,21.23
O=C(COc1ccc(Cl)cc1Cl)N=Nc1c(O)[nH]c2ccccc12,1,20.57
CC1(C)OC(=O)C(CC(=O)NN2CCOCC2)O1,1,26.1
COc1cc(Cl)ccc1OCCn1c(O)cn(C)c1=O,1,20.9
CN1C2CCC1CC(NC(=O)c1cc(Br)cc(Br)c1)C2,1,25.95
COc1ccccc1N(C)S(=O)(=O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,1,24.44
COC(=O)c1cc(C(=O)OC)c(NC(=O)C(N)CCSC)s1,1,31.91
Cc1c(F)cc2c(=O)n(CCN3CCOCC3)c(=O)n3c2c1CCC3,1,25.3
Cn1nccc1C(=O)NC1CCN(c2cccc(Cl)c2)C(=O)C1,1,24.08
O=C1CCC(c2cc(F)cc(F)c2)=c2cn[nH]c2=N1,1,31.21
C=C(CCC(=O)NCCCN(C)C)C(=O)c1ccc(C(=O)O)cc1,1,32.86
CC1CN(C2(C(N)=O)CCN(Cc3ccc(-c4ccccc4)cc3)CC2)CC(C)O1,1,26.58
O=C(NC1CCCCC1)N1c2ccccc2Sc2ccccc21,1,19.09
O=C1c2ccccc2C2(C(=O)c3ccncc3)CCCN12,1,26.79
O=C(O)CC(NC(=O)C1CCCN1S(=O)(=O)c1cccc2c(Cl)cccc12)c1ccccc1F,1,36.34
NS(=O)(=O)c1ccc(N=c2c3ccccc2c2cc(Br)ccc2[nH]3)cc1,1,28.08
CCN(CC12CC3C(C)C1C(O)C2(O)C3O)C1C2CCC3OC32CCN1C,1,56.24
COc1ccc(N2CC(CC(F)(F)F)(C(=O)Nc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(C)C2=O)c(C)n1,1,26.35
CCc1c[n+](CC(=O)c2ccc(OC)cc2)c2c(Cl)c3cccnc3nn12,1,38.72
CN(C)C1CCCC(c2c[nH]c3cc(C#N)ccc23)C1,1,22.63
CC(=O)N1CCC(CCOc2ccc(NC(=O)N=c3cc(C(C)(C)C)o[nH]3)cc2Cl)CC1,1,29.79
COc1ccc(CCNC(=O)Cc2c(C)c3cc4c(C)coc4c(C)c3oc2=O)cc1OC,1,22.41
COc1cc(N=c2nc(-c3cnn(C)c3)cc[nH]2)ccc1N1CCN(C)CC1,1,21.86
Brc1cccc(N2CCN(Cc3[nH]nc4c3CCCC4)CC2)c1,1,25.88
C=CC(=C)CC=C1C(C)CCC2C(C)(C)CCCC12C,1,22.71
Cc1ccc(NC(=O)Cn2cc(COc3ccc(C)cc3Br)nn2)cc1,1,26.25
Cc1nnc(SCC(=O)Nc2ccc(F)cc2)s1,1,20.42
COc1nccc(N2CCN(c3cccc(Cl)c3Cl)CC2C)n1,1,26.68
CCn1nc(C)c2c(C)nn(-c3ccccc3Br)c2c1=O,1,24.63
CC(C=Cc1cccc(F)c1)=CCC=C(C)C[S+]([O-])N(C)Cc1ccccc1N,1,50.69
Cc1[nH]cnc1CSCCN=C(N)NC(C)c1ccccc1,1,25.62
C(=Cc1nc2ccccc2[nH]1)c1ccncc1,1,19.1
Cc1ccc(NC(=O)Nc2ccc(-c3c[nH]c(=N)[nH]c3=N)cc2)cc1C,1,23.89
O=C(NCc1c(F)cccc1F)N1CCCC(O)C1,1,23.19
Cc1nc(-c2ccc(F)cc2)c(Cc2c(F)cccc2F)n(C)c1=O,1,29.28
CC(C)(C)OC(NCC(O)(CCN1CC1)c1cccnc1)c1ccccc1,1,36.6
CCCC(c1ccccc1)c1c(C)[nH]c2ccc(O)cc12,1,26.89
NC(=S)N1N=C(c2ccco2)CC1c1ccc(F)cc1,1,20.6
COc1ccc(CN2CCC(n3[nH]ccc3=NC(=O)C(O)c3ccccc3)CC2)c(OC)c1,1,28.79
CCNC12CC3CC(CC(C3)C1)C2,1,16.5
COC(=O)c1c(C(N)=O)nnn1C1OC(COS(N)(=O)=O)C(OC(=O)c2ccccc2)C1O,1,35.84
CN(C)CCNC(=O)c1cc2c([nH]c3ccccc32)c(=O)n(C2CCCC2)c1=O,1,30.62
CCCCn1nnc(C(=O)c2ccccc2)c1C(=O)c1ccc(Cl)cc1,1,30.37
Nc1cc(=NC(=O)c2ccc(F)cc2)[nH]c2[nH]c(=Nc3ccccc3F)nc(N3CCCCC3)c12,1,39.48
CCCCCCCCCCCCCCCCCCCC(=O)Oc1c(C(C)C)cc2c(c1C)C(=O)C(=Cc1ncc[nH]1)O2,1,41.29
CC(=O)N1CCC2(CC1)CN(c1cncc(F)c1)C(=O)CN2C,1,27.13
COC(=O)Cn1cc(COc2ccc(C=CC(=O)C=Cc3ccc(OC)c(OC)c3)cc2OC)nn1,1,26.03
Cc1ccc(CC2CC(c3ccccc3)=NO2)cc1C,1,23.95
S=C(NCCc1ccccn1)Nc1ccccc1,1,20.34
CC(C)(C)Cn1ccc(=Nc2nc(-c3ccncc3)cc3cc(NC(=O)c4ccccn4)cn23)[nH]1,1,42.98
c1(=NCC2OCCC2)nc2c(cc(S(=O)(=O)N3CCCCC3)cc2)[nH]c1,0,28.45
O=C(NC1CCCCC1)C(c1ccc(Cl)cc1)N1C(=O)c2ccccc2C1=O,1,22.58
COCC(=O)N1CCC(n2cc(C=CC(O)=NO)cn2)CC1,1,26.44
COc1ccc(Br)cc1Cn1cc(C(=O)O)c(=O)[nH]c1=NC(C)C,1,34.88
CC(C)(C)c1ccc(C(=O)CCN2CCN(Cc3ccccc3)CC2)cc1,1,23.07
CCN(CC)CCC=Nc1cc(CN2CCCCC2)c(O)c2ncccc12,1,27.17
Cc1c(Cc2ccccc2)sc2nc(-c3n[nH]c(=O)n3N)cn12,1,31.17
CN1CCN(c2ccc(Cl)c(Cl)c2)CC1,1,17.53
N#Cc1c(-c2cccnc2)[nH]c(N2CCC(O)C2)nc1=O,1,28.6
Cc1cc(Cl)cc(Cl)c1OCC(=O)O,1,19.41
N=c1[nH]c(=N)c2cc([N+](=O)[O-])ccc2[nH]1,1,17.48
CCCCCSc1nc(=NC(=O)CCl)s[nH]1,1,27.81
O=S(=O)(CC(O)(CN1CCN(c2ccc(C(F)(F)F)cc2Cl)CC1)C(F)(F)F)c1nc2ccccc2s1,1,38.78
COCCCN1CCN(C(=O)c2cc3ccccc3[nH]2)CC1C,1,27.23
COc1cccc(C=NN=c2[nH]ccc3cccc(OC)c23)c1,1,28.88
O=C(O)CCNC(=O)NC1CCN(Cc2ccccc2)CC1,1,23.67
COC(=O)c1cc(O)c2c(c1)CCC2N,1,22.53
CC(C)CNC1(C(N)=O)CCN(CCc2ccccc2)CC1,1,25.28
O=C(NCCc1ccccc1)c1ccc(-n2cccn2)c([N+](=O)[O-])c1,1,26.41
Cc1ccc(-n2c(O)c3oc4ccccc4c(=O)c3c2O)cc1C,1,24.69
COc1cc2ncccc2cc1-c1cc(-c2ccc(C(=O)NCc3ncco3)nc2)c[nH]c1=N,1,41.98
CC(C)N1CCN(C2CCN(CC(O)c3ccccc3)CC2)CC1,1,23.3
CCC(CC)C(=O)N(C)c1cc(C=CC(=O)OC)ccc1OC,1,31.18
Cc1c(Cl)cccc1NC(=O)c1cc2cc([N+](=O)[O-])ccc2[nH]1,1,25.32
N=C(NCc1cc(F)c(F)c(F)c1)c1c(-c2ccc(C#Cc3cccs3)cc2)oc2ccccc12,1,43.04
O=C(CN1CCN(c2nccc(Cl)n2)CC1)NCc1ccnc(Cl)c1,1,31.4
COc1cccc(C(C)(C)C(=O)NCc2cccc(-c3ccc(S(=O)(=O)NCCN4CCCC4)cc3)c2)c1,1,30.94
CC1CCCC(NC(=O)CC2Oc3ccccc3NC2=O)C1C,1,24.99
CCCc1cccc(OCCCc2ccncc2)c1,1,26.69
O=C(O)Cc1ccc(F)c(Br)c1,1,21.95
Cc1ccc(NCC(=O)NN=Cc2ccncc2)cc1Cl,1,19.76
CC(C)CN1CCc2c([nH]c3ccccc23)C1c1ccccc1,1,22.09
COc1ccc(OC)c(NS(=O)(=O)c2ccc3c(c2)CCN3C(C)=O)c1,1,21.38
CSc1ccc(NC(=O)C2(C)CC(=O)N(C)C2)cc1,1,26.74
CNC(=S)NCC(=O)OC(C)CNC(=O)C=Cc1ccc(C)cc1,1,39.94
COC(=O)NN=C(CCl)c1c[nH]c2ccccc12,1,29.54
