SMILES,SMILES_state,NLL
2c[O-],0,294.18
N#2O=[N+])4C#CO2CCCC=CC[O-]ccc3C3CccccccNCCCCCCC(CccCCNcCCC3Cc12Cc1C)4CCCC[N+]=CCc)3Cccc-1BrCcCCC4CcCCCcCCCcCCCC(cCNFC(C)(CccnCcccCC,0,255.53
c,0,293.86
)2[nH]Br22F(Br1-C)N[N+]Brc(Cn3NccccCNCCNCCc)CCCnc1Cc32cCCOc33cc223Cc[nH]C)CCC2CcCCCCn1c,0,276.25
,0,276.78
([nH][O-][nH]C#C4(#1)BrnCc)[N+]c1[O-](=CC[O-]ccFcC33(cC)Cc1(cc)CCcccNCCC3CC4CCCCcCccOCC1C4ccc-)(C)cCC,0,277.04
[O-]54,0,320.54
=-25c[N+]F1#-=[O-]O(O)cCcC,0,296.19
O(#2[nH]=-c,0,308.63
14=C=([N+]35C)#ncc[O-]((ccCCccCcCCcccC[O-]c1c2c)C)CCCc5C)C1CcCcCCC(2cccCnCCCCnc4(c3Cc)Cc5BrC)C3ccC[N+]CCCC)C3Cn1C2)Ccc2CCc2c(1ccC#3CCC,0,277.15
#OO[nH]n,0,279.99
)),0,271.94
,0,299.76
F5[N+][nH]1On,0,297.6
-1,0,296.72
3[nH][O-]1))c,0,275.16
[nH]c4[nH])C[O-],0,280.18
N=4)=c-)C([nH]C4c2C5C1)CCc)1ccCCccc1CnC(,0,275.12
Nn-((-(2c[N+]3[O-][O-]c5(c1cC)C,0,293.5
-#n[nH]4n[O-]c5[nH][O-]3CFnCC)[nH][O-]FC#,0,313.08
[O-]N(FCc,0,277.85
#Cn5N)3(,0,304.39
cONO-5cCF3)CCC[nH]N)5(1CCCCc2CCC4NCc)cCC[N+]c)cC[O-]CCNCCNcCc)Ccc[O-]cNC2CcCc5)CCCBr3cC)C[nH]C3CCNcCCCC3CC[O-]CC3CcCCCcc22CC3NO4CCcCc#N2C(CC,0,280.82
F-5=,0,296.16
#=(O44N1n3#)NNO[O-]NcBrc4,0,303.72
)1=(2,0,275.79
[N+]3=[nH]1COCC)C)C3CCcNO2CCcCcCcCcCCccCc()c(c,0,292.2
[N+]C3,0,279.47
n3[O-]-Fc)1-cC)3C2Nc-CNC1cc22CC1ccC)Nc(ccCcN2CcCCCC1c)c2FC1#c)C(CCC34CCC(CncCcCCcC12cCcCCCCC(nCCCcC)C,0,267.76
52FBrF4[N+]3c[nH]-5CC3[O-]3(,0,291.72
4(-455(FNNn)5#Br(CcNC)Brc3CCC3)4C,0,290.64
1=1c=OOcC),0,273.63
O[N+]c2C-c3cN=C111c()(cC4(C2CCccCBr)CCccCc3c3CC)3CcCNCCCCCc1C4-3)CNcC3CC23)cC)NcC)(CcCCc)4C(c241C2C41ccCCCC1CC(CCCCc(CCCcN,0,280.02
=BrC[N+][N+]O,0,310.43
Br=)2[N+]=2BrO=BrO,0,270.07
c#Oc2[N+][nH]2,0,299.94
#OcC2n111Cc(#3c,0,269.38
