SMILES,SMILES_state,NLL
(c#O))3n#nC2),0,330.96
[N+]-NF1F(15[nH]41[nH]-1cC1[O-]C3cF)CCN1()N)cc,0,334.91
4n(,0,327.36
#)=O5F,0,365.63
(#[N+][N+],0,337.71
OFN2-N1#Cc=3n3=3)O)2(ONN)c=2CcOcc#)[N+]C)CNcc#,0,336.07
1Brn)1O[O-]c[nH]N2F(54BrnN#FN1551nn,0,353.22
4-4([N+][O-]c(c=)#C44(5Nc((NN)O3[N+](c,0,376.39
N,1,336.73
-(,0,357.37
22OOnBrnCC#[nH]#1[N+]=(O(4)N-)cc2N(,0,339.71
#cc13nn5Nc[nH](c(cC#((,0,337.67
c5C=O)[O-]([O-]N(C(5n,0,332.79
NN,1,343.44
(2[O-][nH]-1,0,340.3
51OO[nH]#c32)O[O-]2OO241n[N+]4(1[nH]cOO)#,0,333.71
5([nH]cF)C1O4,0,353.8
4(FC32=n(cCc3(N(4Ccc2O))c,0,338.24
,0,330.19
,0,294.4
=-[N+]3-#F2Br1)2#(Br(N1c)Brc1[O-]C,0,338.7
C=CBr4O2N3-3c4,0,321.69
C#[O-]F#4(c2CCC3c24,0,336.02
)F))(1,0,323.24
=2C[N+]c223C4ccN3)n)CC2N,0,330.82
55[nH][N+]5[O-]cCOn[O-]n[O-],0,314.88
#F2(O)3BrO()C,0,317.36
c2335FFC-(Fn##(,0,340.77
c53c14-=3[nH]4[O-]Nc)c5O5CNc4,0,334.91
)[N+]4,0,327.32
2[nH]=1c,0,328.91
[O-]BrBr5CC)2C(-CCN(4Cc((cCO(On,0,338.35
[O-](C[nH]4)5,0,340.29
[N+]-=##2[nH]5N()(,0,344.9
3Nn1)(=2F(3)(2N(Br=FcnO2c1NO[N+]Fc2#O[O-]C((cC3(nNCN,0,350.23
2(cCC(3O[nH])C[O-]((cNc))1)((Cc(NCc))c=NC142n,0,319.18
34--c1nn,0,330.82
#-#=[nH]--,0,341.48
[nH]#F,0,355.09
C[N+]n5N13CcccC)3F,0,320.71
--#n[nH]n12Nc[N+]c[N+]O))C)N))))nBrNC)33NcC1,0,337.14
#F)5[nH]N-O,0,339.59
13)F[nH],0,339.32
O=2#Br2,0,316.16
=c5([N+]CccN)#cC(Nc5)cO)42([O-](((52O))Nc))(c,0,315.24
BrC4CFO35cN3C,0,347.71
[N+]Br,1,336.62
1-Br)=Br,0,326.53
C(n1cF3Cc[N+])(-)=)(CCc(1cC(c(23C(4cnccc2Ccc((cc2cC)c2c)))c)F22BrBrc(c))[O-]C4Cc3C,0,312.62
#-=,0,343.57
(C-[O-],0,330.55
=N5(O3cn2)3(c2[N+][N+])=,0,339.77
3OF#C#)=cc3(23(CcC)2351CN2F,0,335.09
[nH]3O#),0,345.6
Cc(cC,0,328.42
-4,0,324.98
NCNc,0,341.17
[nH]254-2(2Nn[O-]CnC,0,326.8
2BrBr[N+])#-,0,338.39
3,0,359.33
CBr,1,329.49
Br=C)(n1#F[O-](),0,342.56
-FC1-Brnn,0,374.83
Br3c[O-][O-][nH]3FON[nH](cC()[nH]O1cBr)C)FCO[O-]C52)CCcnc()ON)NO(C)CcccCCncc(CCCNCCNcN2,0,331.36
F[O-]1N=n-)cN2[N+]C(,0,353.29
N5OFC-2)1F(1FNcBr1,0,352.54
[nH]5#54F[O-]n,0,355.42
[N+][O-]1BrC1,0,323.63
1N-)C#)C5[O-]C)3CcBr(C2cC[nH]c,0,349.08
cBrc1c2BrC3c1C1)112)C,0,313.97
##ON#C[N+]2cc(F,0,344.25
[nH][O-][nH]OBr[N+]ncc32c=2,0,353.37
n#2[N+]=4(=(c[N+]5(,0,342.47
23c[N+](nNc(CN3[nH]c)c,0,337.47
,0,358.61
-[N+]F4[N+][nH]323(O=4N(c51Br)1C,0,340.88
24O[nH]2,0,329.64
2,0,333.63
13,0,346.0
c[O-]cF1nO1C#,0,332.21
[O-]5NBrC)23,0,320.67
3BrN(CN(cF)C14)N,0,343.58
N(2[nH],0,339.34
n)[nH]44[O-]42c3(C[nH]1414-=OC-CBrCcN((,0,332.54
(N(2)23Brc,0,346.54
#[nH]O4C[nH](341C[nH],0,336.39
[N+]#4)#)n,0,354.41
1)C=(c2nC,0,315.62
C3=CCF)3O#=,0,328.42
=)CcOF1F,0,333.51
F,1,326.46
24(CN[O-](=NN)[N+]N3,0,346.99
-5C[O-]5O[N+](Nc4ON2CNC)21=cCNcn24)NO)[nH]C,0,353.21
[N+]-335=)BrC([O-]-=3)1c1)F2O2C-cc)((nNc[O-]c)OCCC)Cc)C1CN(=cc(O#N=OO(,0,352.67
2n1([N+]2[N+]2[N+]#,0,332.81
,0,335.53
N-F2n[N+]Fc[nH]N))-[nH]1=O5c,0,357.63
[nH])O[nH])Br-cn,0,372.34
c2343Nn4cCC,0,352.34
[N+]1[N+]C[N+]C=F)nC3C)234N=,0,320.34
[O-]Br[nH][N+]4n5[O-]2(CcO3)OncCn,0,368.09
OC#Fn##NN[O-]Br(,0,333.94
332O44(Fn2542C5-1c12(#Brcn=C5F)Oc2n,0,349.42
