SMILES,SMILES_state,NLL
4)[nH][N+](O-cC4,0,322.46
-c45NFO[N+]-)2[N+]n12-4n3,0,320.98
C[nH][O-]4=NBrc,0,323.19
CcCNCnC1)((CCCCCcCc4,0,320.77
4Br-COF)[O-]1)#C-)1)2Cc(C)N1)-nc[O-]C2)C1=c5,0,310.54
c1)3c[N+]-1(,0,332.22
5BrC),0,310.41
BrC1(ncC25=())===C)cCcn2-2,0,338.15
c=4NcFc51#[N+]14nOF[O-][N+](1[N+]NO)5nc21O,0,337.69
[nH]N3Br(F[nH]1Cn#[N+](#[O-]1([O-]N),0,359.25
nON[O-]C#[N+]CC#1c,0,329.32
4[nH]c#O-([N+](2(4,0,318.57
,0,343.49
),0,348.14
4#[O-]nBr#c5C113,0,344.86
11)C41-2N(1n#22Cc4=[N+]3N[O-]CC2C,0,342.64
NO)n(4nc32N)#BrN32-4(3=O-1c4C3))N5,0,336.06
OFOBrOO,0,325.13
#[N+]12[nH])BrNOc4F#C)Nn2Ccc2C)4C4,0,343.91
[N+][O-]N[nH]3Br1-,0,310.2
[N+]4=[N+](C=c1=1[O-][nH](c[nH]2NccC1))C=3NCCC,0,336.22
O[O-][N+]F1()c)NnCCcn1c24N#cC1CCC#1F133CccccCCccC[O-]NC(CC3(cc5CNc5c)3)CcC,0,318.11
F-[O-][O-]BrBr12cO[N+]n4[O-]([N+]4N(cc))([N+](,0,340.11
#,0,299.88
[O-]Br=-[O-]=[O-]C#C52c#5[N+]1#F)=(NcF,0,371.62
[N+]Br=[N+]2F-[O-]2=(3C1)OC4,0,323.62
#N[N+]3CBr223N31C[nH]n)NC-5CcN(,0,330.3
([nH]N[O-]3C5[O-]3C[N+][nH],0,360.19
OcO[nH]Br2N#Br)FCN4n2#cC=--=-)[N+]#F3Br4C,0,384.67
n43,0,318.5
cN[nH]3C5,0,320.18
-([nH][N+]F5-[O-]32,0,326.33
4F1n2#5Brc[O-]c,0,349.58
[nH]()[N+][nH]=ONN5CNOO2(2))nC3Nn,0,332.36
cBr,0,347.05
3[O-][O-]52#([O-]-[N+]3n,0,343.57
nnFBr(FN#3-14Br#3c[O-]F[O-]n21=#122)=3C(1F1)CC),0,332.93
CO[O-]([nH]C2#))1=,0,319.97
1n[N+]C[O-],0,377.64
2[nH][nH]#-O44N1,0,322.13
([O-]1O-#3,0,329.68
-2O2)[N+]-)4[O-][N+]OOc)(=2#CBrC1#-C[nH]-C=CCCcCC#1CCCcCN3C)NCCC)cCC4CCn=)c)(cCCCCC3cN[N+](N2(1CC,0,304.37
[O-]3=N--=-=(n1N24#([nH]52n1)[nH]c1#C5),0,329.17
(4F#2FOc[N+]#,0,313.96
5cF[nH]324[nH]Br3,0,349.89
)F3[O-]2F#)[O-])#[nH]NcNn4#[O-]2[nH]OcBr4())1,0,318.24
,0,322.07
[N+]FcF3,0,333.88
=[O-]Br(1[nH]Cnc[N+][O-],0,326.81
,0,339.64
[nH]nNO-,0,347.24
cn5##2[nH]))F[nH]Brn(24#-,0,366.02
n[nH]=[nH]))4,0,307.69
=Br235[nH]C2[N+]FN)CCNF[N+]CC)c,0,315.21
n,0,289.67
F5=O)[N+]n3),0,316.14
5[nH]CC4,0,322.37
-cN14[nH])5O33c1)F))2c2,0,308.92
Br[O-]4=-)OO22#[N+]c[O-]F[N+]FcC[N+],0,324.75
Br3[N+]N#F[O-]FCcNn11c)=Brc[O-]CO1C,0,309.83
FNn4F[nH]n)32F-2BrcBr4-13cBrF3N[N+]nNn[nH][O-]N=[N+],0,337.88
2O[nH]5[N+]3c=)Br=2(3,0,299.18
)522n,0,316.79
[nH]-O3c5=(451ccnNc22cCC)(,0,327.11
),0,316.72
O[nH])[nH][N+]1C4(=c[nH]nBrO,0,364.17
343N[O-][nH]F3=c#,0,322.15
[nH][nH]#33#5c-cN3n4cc#OC3FCN#2C,0,332.09
[O-])Br[O-][nH],0,326.54
c[O-]11((=Brn),0,366.14
-4cc-c)#,0,305.65
4[O-]2F)([N+])c)cC(1=2#3cN23(,0,351.54
Brc2=-1#C13C43OcC#2)[N+]2nc3)#342F3C22[N+]cCCc3N3F)25F-1[N+]N,0,377.02
[nH]1-5F4cCN-F,0,354.98
Br#cc#c(#c,0,311.62
#4[N+]-(4,0,350.79
[N+]4-#F[N+]5#-n2F4[N+](C,0,357.6
[O-]-[nH]n324n)C-On)F(cBr2,0,339.79
5c2-2n4C1,0,323.33
3-OcO1On(##([O-][N+]-[N+]24((=C1)2,0,346.87
O)#1,0,355.07
[O-][N+]Cc()c,0,298.19
5O)#[nH]Cc2cC)CC3C,0,308.63
4Br2=F-5[O-]c[O-][N+]Br3N=,0,343.99
-#cCBr-(1=C[nH](3NCc,0,348.46
#Br1##n3nNnN1,0,334.71
)42-)3c,0,362.45
(=[N+]Fn4cC2(5FNBr5-cCcccBr23#c)[nH],0,340.22
14[nH]#2(2[nH](O[N+]-=2c3C3NO343)Fcn21n2NCBrBr(C,0,327.36
34N4[O-]#,0,343.67
45n)2-3F-4c#cFCC[O-]ccN5[nH]CNcc(c))cF,0,318.59
[O-]F,1,314.74
[nH]F[O-][O-]4-c,0,342.92
C=4C(CN(nCc#)C2c)C[O-]CBrCccC)ccCC#Cc)cccC,0,336.7
c#)c[nH]=(#4FBr)[nH])C#C1(322)CCcc(nCc)5c)c-NF[N+]-FC)2C1CC(c((C=cCcC(cBr2[O-]F##c1C#(CN12-,0,361.48
([nH]1N4,0,354.06
[O-]2FN##1[O-]F2[O-]O)-2[N+]5C4cn(4n,0,306.31
3N2255BrOn2121[O-][nH]-cONCc[O-]=(cBrFCCCCCC-CCc)CCC,0,330.77
#c[nH]=(c[O-]1[nH]Cc[O-]1),0,340.56
C[nH]1[nH]=3#)[N+]1C,0,344.45
cNN=3Fn=c13[O-]c-NN3O,0,329.94
F#2Br55O[O-][N+]5cFO4,0,342.51
NFn4C-C2F)3N)C1,0,334.06
[nH]OONC-35F13)[O-]FO[nH]112#4c2cC5=)cN2cc)2CcC,0,336.31
2#14BrF[O-]1#2n2[N+]-Br)c5-(CC))2(3C=N5#C)cc2CFCcCC,0,317.2
)c#Br,0,321.82
2(25n123[N+])==,0,314.67
3OCc[nH]=1,0,336.41
CO#[N+][O-](21)3CNcCC,0,363.4
5c2Fn455cN#cc,0,297.75
4[O-])#3n1=,0,301.2
[O-]2CCO13nBr[O-]5)c3)(CCNC)21CC)CC(CC(Nc(cCc)ccCC)[N+]5[O-]CC1C3,0,309.7
C)ccF(2c5[nH]c(cnO1Cn[O-]C3Fc,0,342.04
=[O-]4=ONc)3-)4)41,0,324.05
c[N+]NCc#CF213C4cC2C1)CCCCC)#C[N+][nH]Cn53c[O-]3)C,0,330.06
2[O-][O-]2)Fcn-cF[O-]F#2(2n#N)1n[O-]CO4,0,334.32
5[N+]O-5-(1[nH]Br[N+][nH]F)13F42ON4[nH]2nN[nH]c3NFBr3#3OOCC)3(1CO5)c1#cC))N4(C=cC)N13CCC(c222O[nH]c[N+])c2C),0,339.63
13-[N+]12#N4N4(5O2CBr-[O-][O-]C[N+]C[nH][nH]#-2,0,323.39
[O-]BrF-C[O-]1FOC#Cc11c(Br[O-]NcN3[nH],0,325.17
3N[O-](())(3cBrO3CCC,0,305.5
-O)[nH]C#3FO1n5F[N+]N=C#C[O-]Br2)c[N+]4c)-2C)C1)c=C(()CN[N+]2FcCC[O-]))(CCCcCC23CC2N=Fc3-CC4NBr#CC-)2C(c)2c2c1=C),0,346.34
[nH],0,336.41
,0,336.92
[O-][nH],0,363.35
F)4[N+]5cF32CCN2C)44[O-]2O-2BrCN(2c3nC1)Br3(C2c2c1(c((CCc4[O-]N(C,0,360.62
#=#n5#O[nH]1On[N+]Nc)C5c4=,0,341.32
[N+]F3nC(C=,0,350.14
O--N2c=(2n,0,331.49
3)[O-])=[O-]#[N+],0,346.08
(44C3[O-]5[nH])C#[nH]C2)c1)NcC3[O-]CN3Ccc2#CCCFCN)CcCCcCcCC([O-]=C[O-]((CBr#NO(C4C1CCCCCC[O-]BrC)[nH]((c)C1Cc((Br,0,328.86
[nH])C1O1,0,318.34
Br(CFF4[nH]Nc[O-]N23[nH]O3nCCc#2[nH]C2F)c(12=c3[O-]4cCCcC##Cc2()C,0,312.3
FBr[O-]C[N+]O-#N4[O-]2[O-]1O#[O-]nO-[N+]Br[O-]F),0,365.79
F3#Br41[N+]233FBr[O-][O-]CNNC1-ccc)-[O-]2(CcCCccCCc(1ccCC124cCCcCCCCcCcC(cNC3)Br5[N+]2(1c)C(cc=nN)(CC24,0,316.56
n3(NN5(cF21F[N+]()2cC=1cc4C5[O-]-FC)C5c,0,361.67
ccc==Ccc1nCC,0,328.3
[N+])3F,0,307.06
)F-#)#[O-]#)-CC-)cNc(NCC3c2,0,327.26
3NBrC(n2Br)=54=[O-],0,327.07
3#Br=C[nH][nH][O-]CN2(n51c[N+]c(cFcCCcc14#2cccCCc2Cc[nH]3C3C1CN24CBr,0,326.21
F[O-]CNN[nH]=4(151cCn5[O-],0,321.9
[nH]F,0,327.08
[nH])2[N+][nH]5#c1F34n,0,338.59
FnC41[nH]1,0,352.15
[nH]Br#3)#nO1nNn2-c,0,318.98
[N+]n[nH]N23(#2[N+]=CFC2[nH]cc=F(3)=NC,0,327.83
5-[N+](2),0,346.39
n5c4CnN)4C52n,0,348.44
3Cn(4C[N+])221BrCBrF3cN2c--=--#(cCccc-cc4)CcBr3(-c)3cCCccN[O-]3C=c3)(Br=1c3C5C#F[N+]3ccCCCC[nH]CC)N)c5C31NC2)c-[nH]41cN5ccc-n(C4Cc[O-]--(CCc,0,355.21
O=3BrC4(FO,0,323.84
cF-[N+]3Cncc3C#ON)C11,0,329.22
5n3c(=c,0,314.79
=1-N2-Fc4CCNcccO[O-]5Cnc[N+]CC1)3c-(c)C33C#2[N+]ccC1,0,355.19
3Cc,0,318.84
O,1,334.46
##c,0,313.93
53#F3-1n52nF1Fcc[N+]25c[O-]cC12cC4Cc4c)c3C4CccN1c5c=n)C2c21c)C1)(--5C44cc1C44,0,325.47
n[O-]55[N+]3FNO2Fc1=1[N+]c#[O-]c51=)F[N+]n[nH]C1()3c,0,349.92
)c2422=Br,0,320.52
4#)#,0,313.69
n2cnFFn3[O-])314cC(Cc2BrcC3cCN3)2c(,0,335.1
1N)nFC[nH][O-](cC-,0,347.27
5-F-[nH])-1nn[O-]n[O-]ON,0,353.89
NF[nH]O[N+]=[N+]523c1cc(C3231N=[N+]Cn[N+]c-4ON))NCcC,0,332.23
[O-]On42=Nc[N+]cF[N+],0,335.84
nN2[O-]N5-[O-]4C(2[nH][N+]14cF3Fcc,0,333.36
(O,0,331.16
1)CF-C3BrC)-[N+],0,353.36
O1=--[O-]BrN5C1((1,0,329.93
3-[O-]F434FONBrC,0,316.07
N)-24,0,297.73
=CNF5-5Br42,0,320.93
-cc#c35cn(CBr1c2([O-]CC21(C))4ccccNcC,0,327.73
N4O[O-])2[nH][nH][nH]CFCc2C)FNC,0,321.44
c4c415NBrnBr1FC,0,326.96
,0,322.71
2[O-]21NN[nH]([nH]21NN[nH])n5#,0,346.07
(4=C12,0,331.25
[N+][N+]=#nF)[nH])3Br)c-,0,333.07
1n355[O-]n=,0,361.11
O[nH](==BrBr=1N[O-])=n[nH]CNc(C1NC4cC,0,342.72
[N+]n([N+]F5=[N+][O-][O-][N+]1c,0,340.17
[N+]2#C=[nH]3(C)C2NBr4BrCc,0,313.25
1,0,349.99
-,0,329.67
[nH][nH]4-=4154[nH],0,343.08
1,0,317.6
,0,349.26
N313Br=3=[O-])Br,0,321.93
552(1cc[nH]CcF)OC,0,320.64
-Fn)C-F1C)BrOc5NC1,0,323.1
[nH](,0,320.75
3C[nH]Cc-C2[nH][nH]ONcO14c,0,302.71
Nn[nH]4[N+]5C2C#cFnCCN4N(#,0,308.45
)[N+][nH]n-5Br,0,365.01
[O-]2N#n[N+][N+]N,0,317.29
#Br,0,345.19
((N[N+]([nH]O,0,336.83
[N+][nH]35[N+]=,0,308.47
4[nH]4[N+]1[N+])NC4,0,359.08
-1cF2O,0,338.38
O5c2F,0,345.51
,0,319.96
O42121BrBr)4,0,350.5
#[O-]35NO4-COBr2C#c1)[O-]([O-]c)1)4ccNC,0,319.64
n)n([O-]1[N+]2-1())C)3,0,332.96
#c[O-]()BrCC-nCCF2CCcF)C#21Cc[O-]-CN212[O-](4C,0,318.37
3ON(N-3)-)cc22NcccccNCc)14c2[nH]cc[N+]2[N+]4ON2=,0,329.64
1[O-]O[N+]=111nC)C)[N+]51C3[N+][N+]FBrCCcCCn)3[nH])n3NnNcc53[O-][N+],0,331.4
CC#1[N+]3()2c2BrC1[N+][N+]F)[nH]c)3[N+]5([O-]C,0,341.37
4,0,321.4
=Br(###nCBr[N+][nH]NBr-[N+]31c1-,0,338.77
[nH]1[N+]34c#2C4(1[N+]2)n)CF[N+](C4-[N+]3Cc2[nH](3cN(Cc33C3c)cCC[N+]c)22)cCcn)CcCNcC3c)c3CC(ccc3cC1C#ccO)[O-],0,313.08
(#2O-=(cC))),0,334.59
(3c[nH]3[O-]=2([N+][N+]CcC[O-]NBr(=F[O-]()CN3[N+]#[O-]c3cC2=2C),0,350.18
-4[N+]Br[nH]CcC-2cC#c=[N+][O-]5(1,0,366.13
C313(nc3BrO-,0,320.75
C#c[N+]N#ccC)n,0,299.5
3[N+][N+]=,0,332.19
NO-152,0,337.79
CC-2,0,344.04
#BrNOFF3[nH]OCOBr33C#1CO-1,0,339.53
F[O-]c=[nH]3(2))4=4133),0,328.63
NBr=#,0,344.47
,0,328.93
,0,328.59
