SMILES,SMILES_state,NLL
54=#2F234F=[N+]Brc5O2)O12C#-)CNnnc=c(c,0,348.27
cNBr=2=-3(),0,323.65
=n[N+]C3c4,0,329.29
F3,0,330.82
(##4O[O-]NCC-F1,0,333.15
N[nH][nH]=-,0,336.01
N341[O-]1C[O-]n[N+]1-12C[O-]Fn)23(C(3)1OcCC))cn3CCO))c1(cOc)2())OCC-)(c1Ccn#31#O)ccccCcc,0,351.18
O5F1#)[nH]=cBrn[O-]CC(4CCC,0,326.28
#n[nH]([O-][N+])C2[O-](,0,320.69
F[N+])[N+]=[nH]3F,0,323.76
1[nH]3=,0,333.8
[O-]3-1N,0,335.04
[N+]C1-,0,324.21
[N+]#)C(3[O-]N)(CO#3[O-]3341[O-],0,321.5
22,0,317.82
n)C12#[N+]([N+][nH]cN((NcN=C)C11F1c15O=(,0,330.32
C(CC4CCO)N,0,323.68
2N)[nH][N+]422)[N+](N=OCc4((nn)(,0,318.37
FO3[N+]O(3(([nH][N+]OOcc2c4,0,329.69
[O-]#N(O[N+]Oc2=)nF=c,0,316.02
),0,302.11
[N+]5[nH]ON3O=NnF141cc),0,335.58
5[nH]=Br2)3nBrF5))[O-]N[O-]1[nH]C(1[nH]2C,0,332.35
c53C[N+]O-ncc[nH]2Ccn,0,302.57
n[O-]))n2),0,325.82
5),0,338.13
c[N+]CBr,0,342.08
#Nc1n=[O-],0,320.21
[N+]c(-nC#[N+][N+]F##c1()4,0,336.88
[nH][nH][nH]5Nn,0,333.31
=)[O-]OF,0,323.75
2nBr(=[N+]-312[N+]1Br[N+])51(O=-3[N+]C4Nc3cC(n312)cC2c(c)C3c1CcO(41CC)[N+]Cc)c[nH](O4c412C)[O-],0,342.64
5,0,323.55
O[nH]O[nH]CCCCO)3c2c)CCCc)NNOOBrCC1C)cc1,0,309.76
N)[nH]5[N+]1453(BrN1(O#,0,324.28
5)nBr=42#([N+]3cCcCC-11cC)1,0,348.31
(=3[N+],0,321.4
3O(c#Br,0,315.24
N[O-]2OF[N+][N+]1N,0,330.73
5-F-[O-])2Br22O43[N+](Brc-),0,346.97
[O-]#[O-][N+][nH]N=,0,352.43
C5Oc=cC)(5N=n()(NC1)),0,310.22
#52#32#N3O-(c1[nH],0,344.9
-3n[nH]-5Br2)[O-](-F)4Br4)[N+]N[N+])((c)cC4=[O-],0,328.81
1-3,0,316.55
1,0,337.03
[N+]3#[nH]-FBr[O-])ncC,0,314.46
#[nH]n[O-]1)-Br[nH],0,324.07
3,0,328.55
5-[N+]4[N+]On),0,340.77
([N+]N[N+](=-5OCC[O-]2C#,0,335.75
,0,321.81
4n=N([N+]n[N+]F,0,308.35
32245(N[N+]4C134c4,0,306.1
4[N+]-#NF2[N+]-1c=C(O5,0,324.67
=[N+][N+]#(1F4=4[O-]c33O141)1c((c[N+])OcCCcFc[N+]3CCccC(cC)C)(=34)Cc1)CcN=cCCCcBrCC)CC)()C#)c2ncc([nH]()(C,0,321.18
Br,1,303.67
