SMILES,SMILES_state,NLL
5FN[nH]-3cNCNn=,0,392.92
(--)42OBr=14#C#1)[N+]C#[nH][nH]Br2=((,0,392.57
[O-][O-]-2cC#,0,392.46
[O-],1,391.61
[N+][nH][N+]BrF[nH]O3n3[nH]FnN3,0,392.08
C#13CO5Cn3F1(=2ON43#F)=n3[O-]=[N+]-4[N+]C=#[O-]#Nnc[N+]nN[O-]Br,0,393.32
OO3Fc[N+]N1[O-](Br[nH]=[nH]ONNO#=C)2[nH]2,0,392.74
=,0,392.66
3[N+][O-](5(2[O-]c#Fn[O-]c5424BrnBrcBr)4O=nBrOC#3N-)c[N+]ON[O-],0,392.85
2-O4Nnn[O-]5FF21([N+]#[O-]N41,0,392.4
#[O-]F3[O-]Br-C1nc-cO3#,0,391.59
[nH]C3c#1C2=Fc[N+],0,392.19
BrCBr[N+]n25[N+]F4)(-3#O[N+]-),0,392.63
[O-]1[N+]nn3(nn2(,0,392.86
=4n43[O-]=n5c5Br[nH]1[O-]c=,0,392.22
BrO5nNn([nH]))([O-]4F5[N+]OC-#3N==2([O-][O-][N+])5cC5,0,392.52
3c)F3OBr=(ncF#FBrO)[nH][N+]BrnO=#2(#)-=554O#4=2(4115c[O-][O-]F=-,0,393.4
43Br1[nH]N(Br)[O-]2n5c3[N+]-c,0,392.62
N33C[nH]C2,0,392.73
-)[nH]=3[N+]=F[nH]c[nH]CONBrcnc[N+]N4BrC,0,391.4
[O-]5F32nF3542#N2[O-]FBr1Fc))1N=n3[nH]-,0,393.22
n5[O-]Br2NOCn5(#[N+][O-]O[nH]c#n)51,0,392.34
nc[O-])C=(C=[N+]([N+]ONNC3N1#C-[O-]F[N+],0,392.56
2nn[O-]OF5[N+]=FC=FBrBr3[O-]-1FF#C452C3F3-5,0,392.47
4n##O[O-]4Br[N+]3-[nH]F-n[O-][O-]N=Br[nH][N+]n4cF25O=n-#NBr)2[nH]F(25,0,393.18
[O-]FBr)[N+]N,0,392.63
(5=O,0,392.35
1C,0,392.27
,0,392.16
[O-]c((O#[O-]4n4O1)[N+][nH]F43O,0,392.3
[O-]1O[nH],0,392.13
=[N+]N3N2Br[O-]=1FF=2[N+]c4FCcNBrBrO[O-]21#[O-]43F#Fn[nH]O542CN[nH]2,0,393.46
,0,392.36
OBr-)cnBr1BrF(CCCC2C(O,0,392.55
[nH]n-)2#(CO()C2[nH]2Nn54c-2,0,392.15
)1[nH][O-]c[O-]FC[N+]cO),0,392.42
N-[N+]n([nH]=[O-]F43=[O-]5FF531)Br)2[O-]2c#=-#5cc[nH]-[O-][N+]1#3O4--4)#Br[nH][N+]2CCcN-3[O-])[nH]NnF[nH]1,0,391.96
Br=,0,392.37
n=Br(C24[nH](#[O-][N+],0,391.88
